order,ctryname,year,aclpcode,cowcode,cowcode2,qogctycode,qogctylett,qogctyyear,ccdcodelet,ccdcodenum,aclpyear,cowcode2year,cowcodeyear,chgterr,ychgterr,flagc_cowcode2,flage_cowcode2,entryy,exity,cid,wdicode,imf_code,politycode,bankscode,dpicode,uncode,un_region,un_region_name,un_continent,un_continent_name,aclp_region,bornyear,endyear,dupcow,dupwdi,dupun,dupdpi,dupimf,dupbanks,exselec,legselec,closed,dejure,defacto,defacto2,lparty,incumb,type2,collect,nheads,nmil,nhead,npost,ndate,eheads,ageeh,emil,royal,headdiff,ehead,epost,edate,tenure08,comm,ecens08,edeath,flageh,democracy,assconfid,poppreselec,regime,tt,ttd,tta,flagc,flagdem,flagreg,agedem,agereg,stra
37,Afghanistan,1982,142,700,700,4,AFG,41982,AFG,1,1421982,7001982,7001982,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,Babrak Karmal,president of Revolutionary Council,,0,4,0,0,0,Babrak Karmal,secretary-general of People's Democratic Party,,6,0,1,1,0,0,0,0,3,0,0,0,0,0,0,54,10,0
38,Afghanistan,1983,142,700,700,4,AFG,41983,AFG,1,1421983,7001983,7001983,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,Babrak Karmal,president of Revolutionary Council,,0,5,0,0,0,Babrak Karmal,secretary-general of People's Democratic Party,,6,0,1,1,0,0,0,0,3,0,0,0,0,0,0,55,11,0
39,Afghanistan,1984,142,700,700,4,AFG,41984,AFG,1,1421984,7001984,7001984,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,Babrak Karmal,president of Revolutionary Council,,0,6,0,0,0,Babrak Karmal,secretary-general of People's Democratic Party,,6,0,1,1,0,0,0,0,3,0,0,0,0,0,0,56,12,0
40,Afghanistan,1985,142,700,700,4,AFG,41985,AFG,1,1421985,7001985,7001985,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,1,2,2,1,1,0,0,0,0,0,Babrak Karmal,president of Revolutionary Council,,1,1,0,0,1,Mohammed Najibullah,secretary-general of People's Democratic Party,5.04.86,7,0,1,1,1,0,0,0,3,0,0,0,0,0,0,57,13,0
41,Afghanistan,1986,142,700,700,4,AFG,41986,AFG,1,1421986,7001986,7001986,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,1,2,2,1,1,0,0,0,1,0,Haji Mohammad Chamkani,president of Revolutionary Council,11.24.86,0,2,0,0,1,Mohammed Najibullah,secretary-general of People's Democratic Party,,7,0,1,1,0,0,0,0,3,0,0,0,0,0,0,58,14,0
42,Afghanistan,1987,142,700,700,4,AFG,41987,AFG,1,1421987,7001987,7001987,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,1,2,2,1,1,0,0,0,1,0,Mohammad Najibullah,"first President of Revolutionary Council, then just President",9.30.87,0,3,0,0,0,Mohammed Najibullah,"first President of Revolutionary Council, then just President",9.30.87,7,0,1,1,0,0,0,0,3,0,0,0,0,0,0,59,15,0
43,Afghanistan,1988,142,700,700,4,AFG,41988,AFG,1,1421988,7001988,7001988,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,1,2,2,1,1,0,0,0,0,0,Mohammad Najibullah,"first President of Revolutionary Council, then just President",,0,4,0,0,0,Mohammed Najibullah,"first President of Revolutionary Council, then just President",,7,0,1,1,0,0,0,0,3,0,0,0,0,0,0,60,16,0
44,Afghanistan,1989,142,700,700,4,AFG,41989,AFG,1,1421989,7001989,7001989,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,2,2,2,1,2,0,0,0,0,0,Mohammad Najibullah,"first President of Revolutionary Council, then just President",,0,5,0,0,0,Mohammed Najibullah,"first President of Revolutionary Council, then just President",,7,0,1,1,0,0,0,0,3,0,0,0,0,0,0,61,17,0
45,Afghanistan,1990,142,700,700,4,AFG,41990,AFG,1,1421990,7001990,7001990,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,2,2,2,1,2,0,0,0,0,0,Mohammad Najibullah,"first President of Revolutionary Council, then just President",,0,6,0,0,0,Mohammed Najibullah,"first President of Revolutionary Council, then just President",,7,0,1,1,0,0,0,0,3,0,0,0,0,0,0,62,18,0
46,Afghanistan,1991,142,700,700,4,AFG,41991,AFG,1,1421991,7001991,7001991,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,1,2,2,2,1,2,0,0,0,0,0,Mohammad Najibullah,"first President of Revolutionary Council, then just President",,0,7,0,0,0,Mohammed Najibullah,"first President of Revolutionary Council, then just President",,7,0,1,1,0,0,0,0,3,0,0,0,0,0,0,63,19,0
